,Candidat,Departement,Parti,Score
0,Lionel Jospin,ain,Parti socialiste,"20,50%"
1,Jean-Marie Le Pen,ain,Front national,"19,86%"
2,Edouard Balladur,ain,UDF,"19,80%"
3,Jacques Chirac,ain,rpr,"19,23%"
4,Robert Hue,ain,Parti communiste,"6,15%"
5,Philippe de Villiers,ain,"
								MPF								","5,38%"
6,Arlette Laguiller,ain,Lutte ouvrière,"4,89%"
7,Dominique Voynet,ain,Les Verts,"3,91%"
8,Jacques Cheminade,ain,"
								Nouvelle solidarité								","0,28%"
9,Lionel Jospin,aisne,Parti socialiste,"24,38%"
10,Jacques Chirac,aisne,rpr,"18,17%"
11,Jean-Marie Le Pen,aisne,Front national,"17,69%"
12,Edouard Balladur,aisne,UDF,"15,63%"
13,Robert Hue,aisne,Parti communiste,"10,93%"
14,Arlette Laguiller,aisne,Lutte ouvrière,"5,80%"
15,Philippe de Villiers,aisne,"
								MPF								","4,70%"
16,Dominique Voynet,aisne,Les Verts,"2,43%"
17,Jacques Cheminade,aisne,"
								Nouvelle solidarité								","0,29%"
18,Lionel Jospin,allier,Parti socialiste,"22,14%"
19,Jacques Chirac,allier,rpr,"21,65%"
20,Edouard Balladur,allier,UDF,"16,78%"
21,Robert Hue,allier,Parti communiste,"15,66%"
22,Jean-Marie Le Pen,allier,Front national,"11,23%"
23,Arlette Laguiller,allier,Lutte ouvrière,"4,78%"
24,Philippe de Villiers,allier,"
								MPF								","4,73%"
25,Dominique Voynet,allier,Les Verts,"2,77%"
26,Jacques Cheminade,allier,"
								Nouvelle solidarité								","0,27%"
27,Lionel Jospin,alpes-de-haute-provence,Parti socialiste,"22,70%"
28,Jacques Chirac,alpes-de-haute-provence,rpr,"18,37%"
29,Edouard Balladur,alpes-de-haute-provence,UDF,"16,97%"
30,Jean-Marie Le Pen,alpes-de-haute-provence,Front national,"15,79%"
31,Robert Hue,alpes-de-haute-provence,Parti communiste,"11,16%"
32,Arlette Laguiller,alpes-de-haute-provence,Lutte ouvrière,"5,26%"
33,Philippe de Villiers,alpes-de-haute-provence,"
								MPF								","5,23%"
34,Dominique Voynet,alpes-de-haute-provence,Les Verts,"4,19%"
35,Jacques Cheminade,alpes-de-haute-provence,"
								Nouvelle solidarité								","0,34%"
36,Lionel Jospin,hautes-alpes,Parti socialiste,"21,95%"
37,Edouard Balladur,hautes-alpes,UDF,"20,47%"
38,Jacques Chirac,hautes-alpes,rpr,"20,28%"
39,Jean-Marie Le Pen,hautes-alpes,Front national,"12,74%"
