,Candidat,Departement,Parti,Score
0,François Mitterrand,ain,PS,"31,41%"
1,Raymond Barre,ain,UDF,"21,21%"
2,Jacques Chirac,ain,RPR,"19,12%"
3,Jean-Marie Le Pen,ain,FN,"16,09%"
4,André Lajoinie,ain,PCF,"4,43%"
5,Antoine Waechter,ain,Les Verts,"4,05%"
6,Pierre Juquin,ain,"
								Communiste rénovateur								","1,82%"
7,Arlette Laguiller,ain,LO,"1,51%"
8,Pierre Boussel,ain,"
								Mouvement pour un parti des travailleurs								","0,37%"
9,François Mitterrand,aisne,PS,"39,55%"
10,Jacques Chirac,aisne,RPR,"17,17%"
11,Jean-Marie Le Pen,aisne,FN,"13,41%"
12,Raymond Barre,aisne,UDF,"13,32%"
13,André Lajoinie,aisne,PCF,"8,97%"
14,Antoine Waechter,aisne,Les Verts,"3,27%"
15,Arlette Laguiller,aisne,LO,"2,46%"
16,Pierre Juquin,aisne,"
								Communiste rénovateur								","1,39%"
17,Pierre Boussel,aisne,"
								Mouvement pour un parti des travailleurs								","0,47%"
18,François Mitterrand,allier,PS,"30,28%"
19,Jacques Chirac,allier,RPR,"19,46%"
20,André Lajoinie,allier,PCF,"18,12%"
21,Raymond Barre,allier,UDF,"15,00%"
22,Jean-Marie Le Pen,allier,FN,"10,14%"
23,Antoine Waechter,allier,Les Verts,"3,00%"
24,Pierre Juquin,allier,"
								Communiste rénovateur								","2,13%"
25,Arlette Laguiller,allier,LO,"1,47%"
26,Pierre Boussel,allier,"
								Mouvement pour un parti des travailleurs								","0,40%"
27,François Mitterrand,alpes-de-haute-provence,PS,"30,37%"
28,Jacques Chirac,alpes-de-haute-provence,RPR,"18,35%"
29,Jean-Marie Le Pen,alpes-de-haute-provence,FN,"16,72%"
30,Raymond Barre,alpes-de-haute-provence,UDF,"15,69%"
31,André Lajoinie,alpes-de-haute-provence,PCF,"9,18%"
32,Antoine Waechter,alpes-de-haute-provence,Les Verts,"4,52%"
33,Pierre Juquin,alpes-de-haute-provence,"
								Communiste rénovateur								","3,07%"
34,Arlette Laguiller,alpes-de-haute-provence,LO,"1,71%"
35,Pierre Boussel,alpes-de-haute-provence,"
								Mouvement pour un parti des travailleurs								","0,40%"
36,François Mitterrand,hautes-alpes,PS,"29,07%"
37,Jacques Chirac,hautes-alpes,RPR,"20,62%"
38,Raymond Barre,hautes-alpes,UDF,"19,81%"
39,Jean-Marie Le Pen,hautes-alpes,FN,"13,70%"
40,André Lajoinie,hautes-alpes,PCF,"6,46%"
41,Antoine Waechter,hautes-alpes,Les Verts,"5,32%"
42,Pierre Juquin,hautes-alpes,"
								Communiste rénovateur								","2,86%"
43,Arlette Laguiller,hautes-alpes,LO,"1,77%"
44,Pierre Boussel,hautes-alpes,"
								Mouvement pour un parti des travailleurs								","0,39%"
45,François Mitterrand,alpes-maritimes,PS,"24,38%"
46,Jacques Chirac,alpes-maritimes,RPR,"24,30%"
47,Jean-Marie Le Pen,alpes-maritimes,FN,"24,24%"
48,Raymond Barre,alpes-maritimes,UDF,"14,97%"
49,André Lajoinie,alpes-maritimes,PCF,"6,19%"
50,Antoine Waechter,alpes-maritimes,Les Verts,"3,03%"
51,Pierre Juquin,alpes-maritimes,"
								Communiste rénovateur								","1,49%"
52,Arlette Laguiller,alpes-maritimes,LO,"1,17%"
53,Pierre Boussel,alpes-maritimes,"
								Mouvement pour un parti des travailleurs								","0,23%"
54,François Mitterrand,ardeche,PS,"30,64%"
55,Jacques Chirac,ardeche,RPR,"19,99%"
56,Raymond Barre,ardeche,UDF,"19,04%"
57,Jean-Marie Le Pen,ardeche,FN,"12,89%"
58,André Lajoinie,ardeche,PCF,"8,03%"
59,Antoine Waechter,ardeche,Les Verts,"4,14%"
60,Pierre Juquin,ardeche,"
								Communiste rénovateur								","2,89%"
61,Arlette Laguiller,ardeche,LO,"1,97%"
62,Pierre Boussel,ardeche,"
								Mouvement pour un parti des travailleurs								","0,40%"
63,François Mitterrand,ardennes,PS,"37,19%"
64,Jacques Chirac,ardennes,RPR,"17,33%"
65,Jean-Marie Le Pen,ardennes,FN,"15,07%"
66,Raymond Barre,ardennes,UDF,"14,23%"
67,André Lajoinie,ardennes,PCF,"8,20%"
68,Antoine Waechter,ardennes,Les Verts,"3,56%"
69,Arlette Laguiller,ardennes,LO,"2,33%"
70,Pierre Juquin,ardennes,"
								Communiste rénovateur								","1,66%"
71,Pierre Boussel,ardennes,"
								Mouvement pour un parti des travailleurs								","0,42%"
72,François Mitterrand,ariege,PS,"41,40%"
73,Jacques Chirac,ariege,RPR,"18,18%"
74,André Lajoinie,ariege,PCF,"10,53%"
75,Raymond Barre,ariege,UDF,"10,42%"
76,Jean-Marie Le Pen,ariege,FN,"10,29%"
77,Antoine Waechter,ariege,Les Verts,"3,52%"
78,Pierre Juquin,ariege,"
								Communiste rénovateur								","3,17%"
79,Arlette Laguiller,ariege,LO,"2,14%"
80,Pierre Boussel,ariege,"
								Mouvement pour un parti des travailleurs								","0,35%"
81,François Mitterrand,aube,PS,"33,71%"
82,Jacques Chirac,aube,RPR,"20,49%"
83,Raymond Barre,aube,UDF,"17,78%"
84,Jean-Marie Le Pen,aube,FN,"14,42%"
85,André Lajoinie,aube,PCF,"6,49%"
86,Antoine Waechter,aube,Les Verts,"3,50%"
87,Arlette Laguiller,aube,LO,"1,89%"
88,Pierre Juquin,aube,"
								Communiste rénovateur								","1,33%"
89,Pierre Boussel,aube,"
								Mouvement pour un parti des travailleurs								","0,39%"
90,François Mitterrand,aude,PS,"40,12%"
91,Jacques Chirac,aude,RPR,"17,65%"
92,Jean-Marie Le Pen,aude,FN,"13,72%"
93,Raymond Barre,aude,UDF,"10,33%"
94,André Lajoinie,aude,PCF,"10,30%"
95,Antoine Waechter,aude,Les Verts,"3,15%"
96,Pierre Juquin,aude,"
								Communiste rénovateur								","2,58%"
97,Arlette Laguiller,aude,LO,"1,83%"
98,Pierre Boussel,aude,"
								Mouvement pour un parti des travailleurs								","0,31%"
99,François Mitterrand,aveyron,PS,"33,58%"
100,Jacques Chirac,aveyron,RPR,"25,77%"
101,Raymond Barre,aveyron,UDF,"18,50%"
102,Jean-Marie Le Pen,aveyron,FN,"8,87%"
103,André Lajoinie,aveyron,PCF,"4,48%"
104,Antoine Waechter,aveyron,Les Verts,"3,94%"
105,Pierre Juquin,aveyron,"
								Communiste rénovateur								","2,32%"
106,Arlette Laguiller,aveyron,LO,"2,17%"
107,Pierre Boussel,aveyron,"
								Mouvement pour un parti des travailleurs								","0,39%"
108,François Mitterrand,bouches-du-rhone,PS,"26,96%"
109,Jean-Marie Le Pen,bouches-du-rhone,FN,"26,40%"
110,Jacques Chirac,bouches-du-rhone,RPR,"14,77%"
111,Raymond Barre,bouches-du-rhone,UDF,"13,90%"
112,André Lajoinie,bouches-du-rhone,PCF,"11,19%"
113,Antoine Waechter,bouches-du-rhone,Les Verts,"2,94%"
114,Pierre Juquin,bouches-du-rhone,"
								Communiste rénovateur								","2,27%"
115,Arlette Laguiller,bouches-du-rhone,LO,"1,29%"
116,Pierre Boussel,bouches-du-rhone,"
								Mouvement pour un parti des travailleurs								","0,28%"
117,François Mitterrand,calvados,PS,"37,41%"
118,Jacques Chirac,calvados,RPR,"19,89%"
119,Raymond Barre,calvados,UDF,"18,20%"
120,Jean-Marie Le Pen,calvados,FN,"11,06%"
121,André Lajoinie,calvados,PCF,"4,56%"
122,Antoine Waechter,calvados,Les Verts,"4,10%"
123,Arlette Laguiller,calvados,LO,"2,32%"
124,Pierre Juquin,calvados,"
								Communiste rénovateur								","2,05%"
125,Pierre Boussel,calvados,"
								Mouvement pour un parti des travailleurs								","0,42%"
126,Jacques Chirac,cantal,RPR,"37,45%"
127,François Mitterrand,cantal,PS,"31,79%"
128,Raymond Barre,cantal,UDF,"11,52%"
129,Jean-Marie Le Pen,cantal,FN,"7,10%"
130,André Lajoinie,cantal,PCF,"5,68%"
131,Antoine Waechter,cantal,Les Verts,"2,44%"
132,Arlette Laguiller,cantal,LO,"1,93%"
133,Pierre Juquin,cantal,"
								Communiste rénovateur								","1,82%"
134,Pierre Boussel,cantal,"
								Mouvement pour un parti des travailleurs								","0,27%"
135,François Mitterrand,charente,PS,"41,39%"
136,Jacques Chirac,charente,RPR,"19,56%"
137,Raymond Barre,charente,UDF,"15,29%"
138,Jean-Marie Le Pen,charente,FN,"8,89%"
139,André Lajoinie,charente,PCF,"7,03%"
140,Antoine Waechter,charente,Les Verts,"3,22%"
141,Arlette Laguiller,charente,LO,"2,20%"
142,Pierre Juquin,charente,"
								Communiste rénovateur								","2,02%"
143,Pierre Boussel,charente,"
								Mouvement pour un parti des travailleurs								","0,39%"
144,François Mitterrand,charente-maritime,PS,"36,43%"
145,Jacques Chirac,charente-maritime,RPR,"20,18%"
146,Raymond Barre,charente-maritime,UDF,"18,08%"
147,Jean-Marie Le Pen,charente-maritime,FN,"11,17%"
148,André Lajoinie,charente-maritime,PCF,"5,98%"
149,Antoine Waechter,charente-maritime,Les Verts,"3,67%"
150,Arlette Laguiller,charente-maritime,LO,"2,11%"
151,Pierre Juquin,charente-maritime,"
								Communiste rénovateur								","1,95%"
152,Pierre Boussel,charente-maritime,"
								Mouvement pour un parti des travailleurs								","0,44%"
153,François Mitterrand,cher,PS,"33,29%"
154,Jacques Chirac,cher,RPR,"18,72%"
155,Raymond Barre,cher,UDF,"16,57%"
156,André Lajoinie,cher,PCF,"11,79%"
157,Jean-Marie Le Pen,cher,FN,"11,57%"
