,Candidat,Circ,Departement,Parti,Score
0,Jacques Boyon,1.0,-circonscription-ain,RPR,"46,47%"
1,Pierre Fromont,1.0,-circonscription-ain,Divers gauche,"24,11%"
2,Bernard Aulagne,1.0,-circonscription-ain,FN,"10,28%"
3,Marc de Antoni,1.0,-circonscription-ain,Les Verts,"9,86%"
4,Lionel Mornet,1.0,-circonscription-ain,PCF,"3,98%"
5,Nicole Giret,1.0,-circonscription-ain,"
									Les nouveaux écologistes									","2,55%"
6,Yves Petiot,1.0,-circonscription-ain,LO,"1,54%"
7,Jean-François Mortel,1.0,-circonscription-ain,LCR,"1,22%"
8,Jean-Claude Lefer,1.0,-circonscription-ain,Divers,"0,00%"
9,Lucien Guichon,2.0,-circonscription-ain,RPR,"46,53%"
10,Jean Alcaraz,2.0,-circonscription-ain,FN,"18,79%"
11,Eliane Drut-Gorju,2.0,-circonscription-ain,PS,"13,95%"
12,Eric Gilbert,2.0,-circonscription-ain,Les Verts,"12,77%"
13,Georges Arpin,2.0,-circonscription-ain,PCF,"7,96%"
14,Charles Millon,3.0,-circonscription-ain,UDF,"51,59%"
15,Pierre Carroz,3.0,-circonscription-ain,PS,"17,18%"
16,Olivier Wyssa,3.0,-circonscription-ain,FN,"12,41%"
17,Albert Delavière,3.0,-circonscription-ain,Génération écologie,"9,43%"
18,Jean-Pierre Merlo,3.0,-circonscription-ain,PCF,"5,97%"
19,Jean-Michel Verd,3.0,-circonscription-ain,"
									Les nouveaux écologistes									","3,43%"
20,Michel Voisin,4.0,-circonscription-ain,UDF,"48,86%"
21,André Clavel,4.0,-circonscription-ain,FN,"17,46%"
22,Michel Raymond,4.0,-circonscription-ain,PS,"15,95%"
23,Alain Moussel,4.0,-circonscription-ain,Génération écologie,"8,51%"
24,Christian Desmaris,4.0,-circonscription-ain,PCF,"5,34%"
25,Dominique Aubert,4.0,-circonscription-ain,"
									Les nouveaux écologistes									","3,87%"
26,Jean-Claude Lamant,1.0,-circonscription-aisne,RPR,"40,88%"
27,René Dosière,1.0,-circonscription-aisne,PS,"23,70%"
28,Michel Saleck,1.0,-circonscription-aisne,FN,"12,33%"
29,Dominique Lacombe,1.0,-circonscription-aisne,PCF,"7,24%"
30,Patrick Degembe,1.0,-circonscription-aisne,Les Verts,"6,34%"
31,Michelle Berdal,1.0,-circonscription-aisne,"
									Les nouveaux écologistes									","4,09%"
32,Jean-Loup Pernelle,1.0,-circonscription-aisne,LO,"3,64%"
33,Philippe Jarno,1.0,-circonscription-aisne,"
									CNI									","1,77%"
34,Charles Baur,2.0,-circonscription-aisne,UDF,"36,58%"
35,Daniel Le Meur,2.0,-circonscription-aisne,PCF,"21,06%"
36,François Piquet,2.0,-circonscription-aisne,FN,"11,68%"
37,Yves Mennesson,2.0,-circonscription-aisne,PS,"8,64%"
38,Jean-Robert Boutreux,2.0,-circonscription-aisne,Génération écologie,"5,06%"
39,Corinne Lemire,2.0,-circonscription-aisne,"
									Les nouveaux écologistes									","4,52%"
40,Denis Lefèvre,2.0,-circonscription-aisne,Mouvement des radicaux de gauche,"3,20%"
41,Yves Journel,2.0,-circonscription-aisne,Divers droite,"2,23%"
42,Daniel Huriez,2.0,-circonscription-aisne,Parti des travailleurs,"2,20%"
43,Raymond Ducamp,2.0,-circonscription-aisne,Divers droite,"1,77%"
44,Didier Hernoux,2.0,-circonscription-aisne,LO,"1,63%"
45,René Huel,2.0,-circonscription-aisne,"
									Union des indépendants									","1,44%"
46,Christian Cabrol,3.0,-circonscription-aisne,RPR,"37,99%"
47,Jean-Pierre Balligand,3.0,-circonscription-aisne,PS,"36,18%"
48,Michel Corniaux,3.0,-circonscription-aisne,PCF,"8,99%"
49,René Goarin,3.0,-circonscription-aisne,FN,"8,68%"
50,José Meurice,3.0,-circonscription-aisne,Les Verts,"3,71%"
51,Michel Flamant,3.0,-circonscription-aisne,"
									Les nouveaux écologistes									","2,31%"
52,Claude Péronne,3.0,-circonscription-aisne,Divers droite,"1,33%"
53,Henri-Michel Falavigna,3.0,-circonscription-aisne,"
									CNI									","0,81%"
54,Emmanuelle Bouquillon,4.0,-circonscription-aisne,UDF,"30,13%"
55,Bernard Lefranc,4.0,-circonscription-aisne,PS,"25,36%"
56,Wallerand de Saint-Just,4.0,-circonscription-aisne,FN,"15,50%"
57,Michel Carreau,4.0,-circonscription-aisne,PCF,"10,70%"
58,Alain Colpin,4.0,-circonscription-aisne,Les Verts,"6,42%"
59,Arlette Grosz,4.0,-circonscription-aisne,"
									Les nouveaux écologistes									","4,26%"
60,Patrick Vallas,4.0,-circonscription-aisne,"
									CNI									","4,15%"
61,Jean-Claude Garault,4.0,-circonscription-aisne,LO,"3,49%"
62,André Rossi,5.0,-circonscription-aisne,UDF,"43,75%"
63,Dominique Jourdain,5.0,-circonscription-aisne,PS,"16,40%"
64,Colette Fecci-Pinatel,5.0,-circonscription-aisne,FN,"15,12%"
65,Marcel Rousseau,5.0,-circonscription-aisne,PCF,"8,62%"
66,Jean-François Gerak,5.0,-circonscription-aisne,Génération écologie,"5,77%"
67,Eliane Troubady,5.0,-circonscription-aisne,"
									Les nouveaux écologistes									","4,16%"
68,Amanda Helleu,5.0,-circonscription-aisne,LO,"2,61%"
69,Daniel Trocmé,5.0,-circonscription-aisne,Divers gauche,"2,03%"
70,Michel Mouilleseaux,5.0,-circonscription-aisne,"
									CNI									","1,54%"
71,Pierre-André Périssol,1.0,-circonscription-allier,RPR,"28,45%"
72,François Colcombet,1.0,-circonscription-allier,PS,"27,33%"
73,Jean-Claude Mairal,1.0,-circonscription-allier,PCF,"14,16%"
74,René Chiroux,1.0,-circonscription-allier,UDF,"13,35%"
75,Danièle Dutour de Salvert-Bellena,1.0,-circonscription-allier,FN,"8,08%"
76,Alain Bréant,1.0,-circonscription-allier,Génération écologie,"6,13%"
77,Rosine Barakat,1.0,-circonscription-allier,"
									Les nouveaux écologistes									","2,50%"
78,Jean Gravier,2.0,-circonscription-allier,UDF,"34,08%"
79,Pierre Goldberg,2.0,-circonscription-allier,PCF,"31,69%"
80,Bernard Pozzoli,2.0,-circonscription-allier,PS,"12,46%"
81,Charles Mac Clenihan,2.0,-circonscription-allier,FN,"7,45%"
82,Jacky Flouzat,2.0,-circonscription-allier,Génération écologie,"6,37%"
83,Gérard Paquet,2.0,-circonscription-allier,CPNT,"3,11%"
84,Monique Guillaumin,2.0,-circonscription-allier,"
									Les nouveaux écologistes									","2,90%"
85,Jacques Lachaise,2.0,-circonscription-allier,Parti des travailleurs,"1,94%"
86,Bernard Coulon,3.0,-circonscription-allier,UDF,"37,90%"
87,André Lajoinie,3.0,-circonscription-allier,PCF,"34,99%"
88,Jean Mallot,3.0,-circonscription-allier,PS,"9,67%"
89,Jacques Mayadoux,3.0,-circonscription-allier,FN,"7,41%"
90,Michel Durant,3.0,-circonscription-allier,Les Verts,"5,40%"
91,Sylvie Sousa-Lopes,3.0,-circonscription-allier,"
									Les nouveaux écologistes									","2,39%"
92,Pierre-Yves Chabuel,3.0,-circonscription-allier,"
									CNI									","2,23%"
93,Claude Malhuret,4.0,-circonscription-allier,UDF,"39,41%"
94,Gérard Charasse,4.0,-circonscription-allier,Mouvement des radicaux de gauche,"17,34%"
95,René Bardet,4.0,-circonscription-allier,PCF,"14,40%"
96,Gérard Gosp,4.0,-circonscription-allier,FN,"13,33%"
97,Claude Boaziz-Rossi,4.0,-circonscription-allier,Les Verts,"5,83%"
98,Thierry Wirth,4.0,-circonscription-allier,Divers droite,"3,84%"
99,Raymond Mathias,4.0,-circonscription-allier,"
									Les nouveaux écologistes									","3,28%"
100,Richard Szybura,4.0,-circonscription-allier,Mouvement des citoyens,"1,11%"
101,Gabriel Muler,4.0,-circonscription-allier,"
									CNI									","1,05%"
102,Geneviève Aunac-Roberjot,4.0,-circonscription-allier,"
									Union des indépendants									","0,40%"
103,Pierre Rinaldi,1.0,-circonscription-alpes-de-haute-provence,RPR,"37,95%"
104,François Massot,1.0,-circonscription-alpes-de-haute-provence,PS,"21,88%"
105,Bernard Falque de Bézaure,1.0,-circonscription-alpes-de-haute-provence,FN,"12,90%"
106,Gérard Paul,1.0,-circonscription-alpes-de-haute-provence,PCF,"12,54%"
107,Pierre-Alain Cambefort,1.0,-circonscription-alpes-de-haute-provence,Les Verts,"12,18%"
108,Marguerite Legrand,1.0,-circonscription-alpes-de-haute-provence,"
									Les nouveaux écologistes									","2,55%"
109,Pierre Delmar,2.0,-circonscription-alpes-de-haute-provence,RPR,"38,19%"
110,Mireille d'Ornano,2.0,-circonscription-alpes-de-haute-provence,FN,"14,58%"
111,Georges Alliaud,2.0,-circonscription-alpes-de-haute-provence,PCF,"12,87%"
112,André Bellon,2.0,-circonscription-alpes-de-haute-provence,PS dissident,"10,99%"
113,José Escanez,2.0,-circonscription-alpes-de-haute-provence,PS,"10,91%"
114,Jean-Marie Collombon,2.0,-circonscription-alpes-de-haute-provence,Génération écologie,"9,40%"
115,Jacques Ourcet,2.0,-circonscription-alpes-de-haute-provence,"
									Les nouveaux écologistes									","3,07%"
116,Henriette Martinez,1.0,-circonscription-hautes-alpes,RPR,"27,30%"
117,Daniel Chevallier,1.0,-circonscription-hautes-alpes,PS,"25,83%"
118,Jean-Claude Chappa,1.0,-circonscription-hautes-alpes,UDF,"17,51%"
119,Alain Marcoux,1.0,-circonscription-hautes-alpes,FN,"9,39%"
120,Christine Roux,1.0,-circonscription-hautes-alpes,Les Verts,"8,13%"
121,Jean-Jacques Ferrero,1.0,-circonscription-hautes-alpes,PCF,"7,81%"
122,Henri Royer,1.0,-circonscription-hautes-alpes,"
									Les nouveaux écologistes									","2,15%"
123,Jacques Daudon,1.0,-circonscription-hautes-alpes,Divers,"1,12%"
124,Daniel Masse,1.0,-circonscription-hautes-alpes,"
									Parti de la loi naturelle									","0,45%"
125,Jean-Pierre Blache,1.0,-circonscription-hautes-alpes,Divers gauche,"0,32%"
126,Patrick Ollier,2.0,-circonscription-hautes-alpes,RPR,"53,88%"
127,Vanessa Bickers-Garcia,2.0,-circonscription-hautes-alpes,FN,"10,57%"
128,Belkacem Boussouar,2.0,-circonscription-hautes-alpes,PS,"10,41%"
129,Bernard Faure-Brac,2.0,-circonscription-hautes-alpes,PCF,"9,45%"
130,Hervé Gasdon,2.0,-circonscription-hautes-alpes,Les Verts,"7,29%"
131,Michel Marin,2.0,-circonscription-hautes-alpes,Génération écologie,"6,14%"
132,Alain Dimatteo,2.0,-circonscription-hautes-alpes,"
									Les nouveaux écologistes									","2,27%"
133,Charles Ehrmann,1.0,-circonscription-alpes-maritimes,UDF,"35,69%"
134,Jean-Pierre Gost,1.0,-circonscription-alpes-maritimes,FN,"26,30%"
135,Charles Caressa,1.0,-circonscription-alpes-maritimes,PCF,"11,94%"
136,Joseph Ciccolini,1.0,-circonscription-alpes-maritimes,Mouvement des radicaux de gauche,"11,57%"
137,Ghislain Nicaise,1.0,-circonscription-alpes-maritimes,Génération écologie,"5,85%"
138,Michèle Beaune,1.0,-circonscription-alpes-maritimes,"
									Les nouveaux écologistes									","2,86%"
139,Jean-Marc Governatori,1.0,-circonscription-alpes-maritimes,Divers droite,"2,69%"
140,Joël Cristofari,1.0,-circonscription-alpes-maritimes,"
									Solidarité, écologie, gauche alternative									","1,43%"
141,Benoit Anne,1.0,-circonscription-alpes-maritimes,Divers droite,"0,81%"
142,Pierre Ducher,1.0,-circonscription-alpes-maritimes,"
									Alliance populaire									","0,34%"
143,Yannick Gautier,1.0,-circonscription-alpes-maritimes,"
									Parti de la loi naturelle									","0,32%"
144,Mathis Bortner,1.0,-circonscription-alpes-maritimes,"
									Nouvelle solidarité									","0,19%"
145,Jacques Peyrat,2.0,-circonscription-alpes-maritimes,FN,"31,16%"
146,Christian Estrosi,2.0,-circonscription-alpes-maritimes,RPR,"28,21%"
147,Patrick Mottard,2.0,-circonscription-alpes-maritimes,PS,"14,84%"
148,Geneviève Médecin-Assemat,2.0,-circonscription-alpes-maritimes,Divers droite,"9,65%"
149,Guy Marimot,2.0,-circonscription-alpes-maritimes,Les Verts,"5,85%"
150,Sylviane Douhet,2.0,-circonscription-alpes-maritimes,PCF,"5,27%"
151,Françoise Nicaud,2.0,-circonscription-alpes-maritimes,"
									Les nouveaux écologistes									","2,35%"
152,Guy Tordo,2.0,-circonscription-alpes-maritimes,Ecologiste,"1,48%"
153,Pierre Chauliac,2.0,-circonscription-alpes-maritimes,Divers,"0,71%"
154,Marc Peigner,2.0,-circonscription-alpes-maritimes,"
									Parti de la loi naturelle									","0,48%"
155,Jean-Marie Le Pen,3.0,-circonscription-alpes-maritimes,FN,"27,49%"
156,Rudy Salles,3.0,-circonscription-alpes-maritimes,UDF,"20,03%"
157,Bernard Asso,3.0,-circonscription-alpes-maritimes,RPR,"18,19%"
158,Jean-Hugues Colonna,3.0,-circonscription-alpes-maritimes,PS,"15,15%"
159,Louis Broch,3.0,-circonscription-alpes-maritimes,PCF,"9,20%"
160,Denis Roman,3.0,-circonscription-alpes-maritimes,Les Verts,"4,57%"
161,Viviane Peizerat,3.0,-circonscription-alpes-maritimes,"
									Les nouveaux écologistes									","1,61%"
162,Véronique Dedelley,3.0,-circonscription-alpes-maritimes,Ecologiste,"1,28%"
163,James Deleuse,3.0,-circonscription-alpes-maritimes,"
									Union écologie démocratie									","1,00%"
164,Jean-Philippe Allenbach,3.0,-circonscription-alpes-maritimes,"
									Rassemblement pour l'Europe fédérale									","0,48%"
165,Robert Serbourse,3.0,-circonscription-alpes-maritimes,Divers,"0,32%"
166,Jean-Pierre Malbert,3.0,-circonscription-alpes-maritimes,"
									Alliance populaire									","0,25%"
167,Saïd Talaouanou,3.0,-circonscription-alpes-maritimes,"
									France plus									","0,21%"
168,Gérard Dariste,3.0,-circonscription-alpes-maritimes,"
									Parti de la loi naturelle									","0,21%"
169,Emmanuel Aubert,4.0,-circonscription-alpes-maritimes,RPR,"29,64%"
170,Jean-Claude Guibal,4.0,-circonscription-alpes-maritimes,UDF,"20,36%"
171,Gérard de Gubernatis,4.0,-circonscription-alpes-maritimes,FN,"20,12%"
172,Michèle Mathieu,4.0,-circonscription-alpes-maritimes,PS,"11,65%"
173,Charles Bellati,4.0,-circonscription-alpes-maritimes,PCF,"7,76%"
174,Jacques Kraemer,4.0,-circonscription-alpes-maritimes,Génération écologie,"6,81%"
175,Eliane Blum,4.0,-circonscription-alpes-maritimes,"
									Les nouveaux écologistes									","2,88%"
176,Patrick Ferruccio,4.0,-circonscription-alpes-maritimes,LCR,"0,77%"
177,Azeddine Chouki,4.0,-circonscription-alpes-maritimes,Divers gauche,"0,00%"
178,Gaston Franco,5.0,-circonscription-alpes-maritimes,RPR,"24,61%"
179,Pierre Gerbal,5.0,-circonscription-alpes-maritimes,FN,"19,97%"
180,Jean Icart,5.0,-circonscription-alpes-maritimes,UDF,"18,52%"
181,Louis Fiori,5.0,-circonscription-alpes-maritimes,PCF,"14,11%"
182,Paul Cuturello,5.0,-circonscription-alpes-maritimes,PS,"10,70%"
183,Pierre-Loup Mazerand,5.0,-circonscription-alpes-maritimes,Les Verts,"6,49%"
184,Jeanne Fargeot,5.0,-circonscription-alpes-maritimes,"
									Les nouveaux écologistes									","3,25%"
185,Jean Guillon,5.0,-circonscription-alpes-maritimes,UDF dissident,"2,34%"
186,Suzanne Sauvaigo,6.0,-circonscription-alpes-maritimes,RPR,"42,30%"
187,Jean-Paul Ripoll,6.0,-circonscription-alpes-maritimes,FN,"21,78%"
188,Pierre-Marie Vidal,6.0,-circonscription-alpes-maritimes,"
									Mouvement des réformateurs									","11,79%"
189,Marius Papi,6.0,-circonscription-alpes-maritimes,PCF,"9,76%"
190,Maurice Bardet,6.0,-circonscription-alpes-maritimes,Les Verts,"7,66%"
191,Noël Perna,6.0,-circonscription-alpes-maritimes,"
									Union écologie démocratie									","3,76%"
192,Marie-Louise Viallon,6.0,-circonscription-alpes-maritimes,Ecologiste,"1,50%"
193,Henri Le Guillou,6.0,-circonscription-alpes-maritimes,"
									Alliance populaire									","1,45%"
194,Pierre Merli,7.0,-circonscription-alpes-maritimes,UDF,"43,79%"
195,Robert Crépin,7.0,-circonscription-alpes-maritimes,FN,"24,50%"
196,Marc Daunis,7.0,-circonscription-alpes-maritimes,PS,"9,19%"
197,Pascal Marques,7.0,-circonscription-alpes-maritimes,Les Verts,"7,99%"
198,Gérard Piel,7.0,-circonscription-alpes-maritimes,PCF,"5,47%"
199,Claude Ammirati,7.0,-circonscription-alpes-maritimes,Mouvement des radicaux de gauche,"3,66%"
200,Yvette Huver,7.0,-circonscription-alpes-maritimes,"
									Les nouveaux écologistes									","1,95%"
201,Maurice Gillard,7.0,-circonscription-alpes-maritimes,Confédération des Écologistes Indépendants,"1,76%"
202,Alain Pruvost,7.0,-circonscription-alpes-maritimes,Mouvement des citoyens,"1,09%"
203,Michelle Roy,7.0,-circonscription-alpes-maritimes,"
									Parti de la loi naturelle									","0,37%"
204,Abdelkrim Bourekab,7.0,-circonscription-alpes-maritimes,"
									France plus									","0,22%"
205,Louise Moreau,8.0,-circonscription-alpes-maritimes,UDF dissident,"32,11%"
206,Louise Moreau,8.0,-circonscription-alpes-maritimes,UDF,"29,83%"
207,Albert Peyron,8.0,-circonscription-alpes-maritimes,FN,"19,22%"
208,Jean-Patrick Léocard,8.0,-circonscription-alpes-maritimes,PS,"6,38%"
209,Nadia Loury,8.0,-circonscription-alpes-maritimes,Génération écologie,"4,09%"
210,Ghislaine Picot,8.0,-circonscription-alpes-maritimes,PCF,"3,91%"
211,Paul Vogel,8.0,-circonscription-alpes-maritimes,Ecologiste,"2,14%"
212,Yvan Angelac,8.0,-circonscription-alpes-maritimes,"
									Les nouveaux écologistes									","1,70%"
213,Michel Brun,8.0,-circonscription-alpes-maritimes,Divers droite,"0,62%"
214,Pierre Bachelet,9.0,-circonscription-alpes-maritimes,RPR,"45,20%"
215,Pierre Pauvert,9.0,-circonscription-alpes-maritimes,FN,"20,40%"
216,Antoine Labeyrie,9.0,-circonscription-alpes-maritimes,Génération écologie,"9,99%"
217,José Soria,9.0,-circonscription-alpes-maritimes,PS,"9,10%"
218,Paul Euzière,9.0,-circonscription-alpes-maritimes,PCF,"6,53%"
219,Henri-Philippe Goby,9.0,-circonscription-alpes-maritimes,Divers droite,"3,44%"
220,Hélène Rubio,9.0,-circonscription-alpes-maritimes,"
									Les nouveaux écologistes									","2,78%"
221,Marcel Magagnosc,9.0,-circonscription-alpes-maritimes,"
									Solidarité, écologie, gauche alternative									","2,56%"
222,Amédée Imbert,1.0,-circonscription-ardeche,UDF,"35,09%"
223,Robert Chapuis,1.0,-circonscription-ardeche,PS,"21,55%"
224,Alain Feuchot,1.0,-circonscription-ardeche,PCF,"11,51%"
225,Christian Lavis,1.0,-circonscription-ardeche,UDF dissident,"10,92%"
226,Jean Garel,1.0,-circonscription-ardeche,FN,"10,01%"
227,Bernard Egal,1.0,-circonscription-ardeche,Génération écologie,"7,09%"
228,Isabelle Dubant,1.0,-circonscription-ardeche,"
									Les nouveaux écologistes									","2,78%"
229,Alain Husson,1.0,-circonscription-ardeche,"
									Union des indépendants									","1,04%"
230,Henri-Jean Arnaud,2.0,-circonscription-ardeche,RPR,"34,94%"
231,Dominique Chambon,2.0,-circonscription-ardeche,UDF,"18,18%"
232,Yves Jouvet,2.0,-circonscription-ardeche,PS,"14,81%"
233,Philippe Arnaud,2.0,-circonscription-ardeche,FN,"10,99%"
234,Michel Rabanit,2.0,-circonscription-ardeche,Les Verts,"9,59%"
235,Serge Plana,2.0,-circonscription-ardeche,PCF,"7,90%"
236,Patricia Vivien,2.0,-circonscription-ardeche,"
									Les nouveaux écologistes									","2,59%"
237,Michel Cez,2.0,-circonscription-ardeche,"
									Union des indépendants									","1,00%"
238,Jean-Marie Roux,3.0,-circonscription-ardeche,RPR,"29,52%"
239,Jean-Marie Alaize,3.0,-circonscription-ardeche,PS,"20,34%"
240,Pierre Chastanier,3.0,-circonscription-ardeche,UDF dissident,"11,06%"
241,Henri Delauche,3.0,-circonscription-ardeche,PCF,"10,08%"
242,Raymond Béraud,3.0,-circonscription-ardeche,FN,"10,07%"
243,Pierre Courouble,3.0,-circonscription-ardeche,Génération écologie,"7,45%"
244,Jean-Paul Ribeyre,3.0,-circonscription-ardeche,UDF dissident,"6,02%"
245,Daniel Romet,3.0,-circonscription-ardeche,"
									Solidarité, écologie, gauche alternative									","2,75%"
246,Gabriel Comte,3.0,-circonscription-ardeche,"
									Union des indépendants									","2,36%"
247,Alexis Iordanoff,3.0,-circonscription-ardeche,"
									Mouvement des réformateurs									","0,37%"
248,Michel Vuibert,1.0,-circonscription-ardennes,UDF,"39,24%"
249,Roger Mas,1.0,-circonscription-ardennes,PS,"23,13%"
250,Emile Wagner,1.0,-circonscription-ardennes,FN,"14,27%"
251,Sylvain Dalla Rosa,1.0,-circonscription-ardennes,PCF,"7,70%"
252,Jean-Philippe Nadaud,1.0,-circonscription-ardennes,Génération écologie,"7,10%"
253,Gabriel Barillet,1.0,-circonscription-ardennes,"
									Les nouveaux écologistes									","4,36%"
254,Patrick Benyoucef,1.0,-circonscription-ardennes,Parti des travailleurs,"2,22%"
255,Pierre Vassal,1.0,-circonscription-ardennes,"
									Démocratie chrétienne française									","1,98%"
256,Philippe Mathot,2.0,-circonscription-ardennes,UDF,"27,72%"
257,Gérard Istace,2.0,-circonscription-ardennes,PS,"22,29%"
258,René Visse,2.0,-circonscription-ardennes,PCF,"16,21%"
259,Michel Dierckens,2.0,-circonscription-ardennes,FN,"14,81%"
260,Philippe Lenice,2.0,-circonscription-ardennes,Les Verts,"6,03%"
261,Simon Lavergne,2.0,-circonscription-ardennes,"
									Les nouveaux écologistes									","3,85%"
262,Jean-Marie Martin,2.0,-circonscription-ardennes,CPNT,"3,52%"
263,Claude Huet,2.0,-circonscription-ardennes,Divers,"2,07%"
264,Jean-Pierre Bourriaud,2.0,-circonscription-ardennes,LO,"1,76%"
265,François Miara,2.0,-circonscription-ardennes,"
									CNI									","1,72%"
266,Claude Vissac,3.0,-circonscription-ardennes,Divers droite,"25,55%"
267,Jean-Paul Bachy,3.0,-circonscription-ardennes,PS,"24,43%"
268,Michel Marchet,3.0,-circonscription-ardennes,RPR,"22,42%"
269,Jean Aubert,3.0,-circonscription-ardennes,FN,"10,58%"
270,Claude Soulet,3.0,-circonscription-ardennes,PCF,"6,66%"
271,Jean-Louis Jason,3.0,-circonscription-ardennes,Génération écologie,"6,04%"
272,Bernard Guillot,3.0,-circonscription-ardennes,"
									Les nouveaux écologistes									","3,19%"
273,Guy Petitjean,3.0,-circonscription-ardennes,LCR,"1,13%"
274,Augustin Bonrepaux,1.0,-circonscription-ariege,PS,"39,19%"
275,Henri-René Garaud,1.0,-circonscription-ariege,"
									CNI									","30,07%"
276,Lyliane Cassan,1.0,-circonscription-ariege,PCF,"11,80%"
277,Georges Mesplié,1.0,-circonscription-ariege,FN,"8,53%"
278,Françoise Matricon,1.0,-circonscription-ariege,Les Verts,"7,17%"
279,Christian Paberz,1.0,-circonscription-ariege,"
									Les nouveaux écologistes									","2,80%"
280,Henri Canal,1.0,-circonscription-ariege,Divers,"0,44%"
281,André Trigano,2.0,-circonscription-ariege,Divers droite,"38,19%"
282,René Massat,2.0,-circonscription-ariege,PS,"32,72%"
283,Josée Souque,2.0,-circonscription-ariege,PCF,"11,89%"
284,André Farellacci,2.0,-circonscription-ariege,FN,"8,42%"
285,Bernard Pastourel,2.0,-circonscription-ariege,Génération écologie,"6,21%"
286,Marie Blanc,2.0,-circonscription-ariege,"
									Les nouveaux écologistes									","2,57%"
287,Pierre Micaux,1.0,-circonscription-aube,UDF,"35,06%"
288,Bruno Subtil,1.0,-circonscription-aube,FN,"15,63%"
289,Marc Bret,1.0,-circonscription-aube,PS,"14,95%"
290,Pierre Pescarolo,1.0,-circonscription-aube,CPNT,"9,34%"
291,Rémo Jeanmougin,1.0,-circonscription-aube,PCF,"7,23%"
292,Bruno Dionisi,1.0,-circonscription-aube,Génération écologie,"7,03%"
293,Marie-Jeanne Courtier,1.0,-circonscription-aube,Divers droite,"6,00%"
294,Colette Verdière,1.0,-circonscription-aube,"
									Rassemblement des démocrates et républicains de progrès									","3,16%"
295,André Veltin,1.0,-circonscription-aube,"
									Démocratie chrétienne française									","1,59%"
296,Robert Galley,2.0,-circonscription-aube,RPR,"29,87%"
297,Jean-Pierre Chérain,2.0,-circonscription-aube,PS,"16,85%"
298,Etienne Copel,2.0,-circonscription-aube,Divers droite,"14,35%"
299,Marc Malarmey,2.0,-circonscription-aube,FN,"12,44%"
300,Jacques Rigaud,2.0,-circonscription-aube,RPR dissident,"10,28%"
301,Jean Lefevre,2.0,-circonscription-aube,PCF,"7,09%"
302,Dominique Menissier,2.0,-circonscription-aube,Les Verts,"6,09%"
303,Maurice Bernardie,2.0,-circonscription-aube,Ecologiste,"3,03%"
304,François Baroin,3.0,-circonscription-aube,RPR,"28,25%"
305,Alain Coillot,3.0,-circonscription-aube,UDF,"18,09%"
306,Michel Cartelet,3.0,-circonscription-aube,PS,"16,12%"
307,Laurent Rohmann,3.0,-circonscription-aube,FN,"13,72%"
308,Georges Didier,3.0,-circonscription-aube,PCF,"10,04%"
309,Pierre Benoit,3.0,-circonscription-aube,Génération écologie,"4,87%"
310,Roger Patenère,3.0,-circonscription-aube,CPNT,"2,59%"
311,Julien Hoël,3.0,-circonscription-aube,"
									Rassemblement des démocrates et républicains de progrès									","2,24%"
312,Anne Baicry,3.0,-circonscription-aube,Ecologiste,"2,05%"
313,Pierre Bissey,3.0,-circonscription-aube,LO,"2,03%"
314,Gérard Larrat,1.0,-circonscription-aude,UDF,"31,48%"
315,Joseph Vidal,1.0,-circonscription-aude,PS,"26,49%"
316,Henry Garino,1.0,-circonscription-aude,PCF,"15,39%"
317,Henri Escortell,1.0,-circonscription-aude,FN,"11,90%"
318,Jacques Doucet,1.0,-circonscription-aude,Les Verts,"6,72%"
319,Jean-François Daraud,1.0,-circonscription-aude,Divers droite,"2,96%"
320,Jean Fabre,1.0,-circonscription-aude,Ecologiste,"2,74%"
321,Muriel Laffont,1.0,-circonscription-aude,"
									Les nouveaux écologistes									","1,90%"
322,Franck Plantey,1.0,-circonscription-aude,"
									Parti de la loi naturelle									","0,42%"
323,Alain Madalle,2.0,-circonscription-aude,RPR,"33,49%"
324,Régis Barailla,2.0,-circonscription-aude,PS,"26,37%"
325,Gérard Chappert,2.0,-circonscription-aude,PCF,"13,26%"
326,Yvonne Garnier,2.0,-circonscription-aude,FN,"13,23%"
327,Maryse Arditi,2.0,-circonscription-aude,Les Verts,"6,43%"
328,Paul Dolset,2.0,-circonscription-aude,"
									Les nouveaux écologistes									","2,88%"
329,Jean Antagnac,2.0,-circonscription-aude,"
									Mouvement des réformateurs									","2,52%"
330,André Homps,2.0,-circonscription-aude,"
									Union des indépendants									","1,82%"
331,Daniel Arata,3.0,-circonscription-aude,RPR,"36,32%"
332,Jacques Cambolive,3.0,-circonscription-aude,PS,"32,30%"
333,Sabine de Pompignan,3.0,-circonscription-aude,FN,"9,98%"
334,André Illac,3.0,-circonscription-aude,PCF,"9,64%"
335,Michel Cornuet,3.0,-circonscription-aude,Génération écologie,"6,40%"
336,Daniel Joannes,3.0,-circonscription-aude,"
									Les nouveaux écologistes									","1,52%"
337,Georges Delmaire,3.0,-circonscription-aude,Ecologiste,"1,48%"
338,Jean-Pierre Bourgeau,3.0,-circonscription-aude,Divers,"1,19%"
339,Jean Bourdil,3.0,-circonscription-aude,Ecologiste,"1,17%"
340,Jean Briane,1.0,-circonscription-aveyron,UDF,"36,83%"
341,François Rey,1.0,-circonscription-aveyron,UDF dissident,"30,08%"
342,Dominique Raynal,1.0,-circonscription-aveyron,PS,"13,86%"
